max_depth_XGB,reg_lambda_XGB,n_estimators_XGB,learning_rate_XGB,penalty_逻辑回归,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,C_逻辑回归,degree,mse,r2
9,9,200,0.05,l1,0.7,0.7,112,1.0,10.0,10,0.17144105419406283,0.8285589458059371
7,7,200,0.05,l1,0.7,0.7,112,1.0,10.0,10,0.17144486335917766,0.8285551366408224
5,5,200,0.05,l1,0.7,0.7,112,1.0,10.0,10,0.17144567153256415,0.8285543284674358
5,5,200,0.05,l1,0.5,0.5,48,1.0,10.0,10,0.17145527985858303,0.828544720141417
5,5,100,0.1,l2,0.7,0.7,48,0.1,1.0,10,0.17145800706496714,0.8285419929350328
7,7,200,0.05,l1,0.5,0.5,48,1.0,10.0,10,0.1714805632484188,0.8285194367515812
7,7,200,0.05,l2,0.7,0.7,48,1.0,10.0,10,0.1714809285934485,0.8285190714065516
9,9,200,0.05,l1,0.5,0.5,48,1.0,10.0,10,0.17152192743638586,0.8284780725636142
9,9,200,0.05,l2,0.7,0.7,48,1.0,10.0,10,0.17152519477146735,0.8284748052285327
3,3,200,0.05,l1,0.5,0.5,16,1.0,10.0,10,0.17153082906720366,0.8284691709327964
7,7,100,0.1,l2,0.7,0.7,48,0.1,1.0,10,0.171556991897529,0.828443008102471
3,3,200,0.05,l1,0.5,0.5,48,1.0,10.0,10,0.17158249590988559,0.8284175040901144
3,3,200,0.05,l2,0.7,0.7,16,1.0,10.0,10,0.17158844970535528,0.8284115502946447
5,5,200,0.05,l1,0.5,0.5,80,1.0,10.0,10,0.17159771119396175,0.8284022888060383
7,7,200,0.05,l2,0.7,0.7,80,1.0,10.0,10,0.17160446425224218,0.8283955357477578
5,5,200,0.05,l2,0.7,0.7,80,1.0,10.0,10,0.17161337962893822,0.8283866203710618
5,5,200,0.05,l2,0.5,0.5,16,1.0,10.0,10,0.17162258454233217,0.8283774154576679
3,3,200,0.05,l2,0.7,0.7,48,1.0,10.0,10,0.17162375517738807,0.828376244822612
