num_leaves_LGB,min_child_samples_LGB,max_depth_random,max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,reg_lambda_LGB,min_samples_split_random,max_features_random,max_samples_random,subsample_LGB,colsample_bytree_LGB,min_samples_leaf_random,max_bin_LGB,reg_alpha_LGB,degree,mse,r2
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,3,48,1,10,0.165848344,0.834151656
10,10,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,1,10,0.165880667,0.834119333
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,1,10,0.166083019,0.833916981
10,10,5,5,50,0.2,100,3,48,0.9,0.9,0.5,0.5,5,80,0.1,10,0.166127931,0.833872069
10,10,5,5,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.166155182,0.833844818
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,0.1,10,0.166243514,0.833756486
14,14,3,3,50,0.2,100,3,48,0.9,0.9,0.5,0.5,7,112,0.1,10,0.166390966,0.833609034
10,10,5,5,100,0.1,200,1,16,0.9,0.9,0.5,0.5,7,112,0.1,10,0.166393676,0.833606324
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,0.1,10,0.166436674,0.833563326
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,5,80,0.1,10,0.166458727,0.833541273
10,10,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,3,48,0.1,10,0.166480774,0.833519226
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,9,144,0.1,10,0.166607565,0.833392435
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,5,80,1,10,0.166691716,0.833308284
10,10,5,5,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.166741884,0.833258116
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,1,10,0.166773577,0.833226423
10,10,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,7,112,1,10,0.166872564,0.833127436
10,10,5,5,100,0.1,200,5,80,0.5,0.5,0.9,0.9,7,112,1,10,0.167204204,0.832795796
10,10,5,5,50,0.2,100,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.167234086,0.832765914
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.167335342,0.832664658
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.1,10,0.167384783,0.832615217
14,14,3,3,100,0.1,200,1,16,0.7,0.7,0.7,0.7,7,112,0.1,10,0.167512602,0.832487398
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,7,112,0.01,10,0.16758082,0.83241918
10,10,5,5,100,0.1,200,5,80,0.9,0.9,0.5,0.5,9,144,1,10,0.167692784,0.832307216
10,10,5,5,100,0.1,200,3,48,0.9,0.9,0.5,0.5,3,48,0.01,10,0.167763946,0.832236054
10,10,5,5,50,0.2,100,1,16,0.9,0.9,0.5,0.5,7,112,0.01,10,0.167796103,0.832203897
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.01,10,0.167802054,0.832197946
14,14,3,3,100,0.1,200,5,80,0.9,0.9,0.5,0.5,7,112,0.1,10,0.167808952,0.832191048
14,14,3,3,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.1,10,0.16784551,0.83215449
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.01,10,0.167919711,0.832080289
14,14,3,3,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,0.01,10,0.167974546,0.832025454
10,10,5,5,50,0.2,100,5,80,0.5,0.5,0.9,0.9,9,144,0.1,10,0.168268074,0.831731926
14,14,3,3,100,0.1,200,3,48,0.9,0.9,0.5,0.5,5,80,1,10,0.16829088,0.83170912
14,14,3,3,100,0.1,200,3,48,0.5,0.5,0.9,0.9,3,48,1,10,0.168292937,0.831707063
14,14,3,3,50,0.2,100,1,16,0.5,0.5,0.9,0.9,7,112,0.01,10,0.168359745,0.831640255
14,14,3,3,50,0.2,100,5,80,0.7,0.7,0.7,0.7,3,48,0.1,10,0.168389634,0.831610366
10,10,5,5,100,0.1,200,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.168391235,0.831608765
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,9,144,0.1,10,0.168528752,0.831471248
10,10,5,5,100,0.1,200,3,48,0.7,0.7,0.7,0.7,3,48,1,10,0.168600923,0.831399077
10,10,5,5,50,0.2,100,1,16,0.7,0.7,0.7,0.7,9,144,1,10,0.168668508,0.831331492
14,14,3,3,100,0.1,200,5,80,0.7,0.7,0.7,0.7,7,112,0.1,10,0.168726523,0.831273477
10,10,5,5,50,0.2,100,3,48,0.5,0.5,0.9,0.9,7,112,0.01,10,0.168820716,0.831179284
