max_depth_LGB,num_iterations_LGB,learning_rate_LGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_bin_LGB,reg_alpha_LGB,degree,mse,r2,mse_y,auc_t
5,200,0.1,64,64,10,0.9,0.9,80,1,10,0.096626578,0.903373422,1.087874335,0.504037149
7,100,0.2,32,32,5,0.5,0.5,144,0.01,10,0.096638561,0.903361439,1.111365069,0.504037149
7,200,0.1,64,64,10,0.5,0.5,48,0.01,10,0.096689616,0.903310384,1.099318873,0.504037149
7,200,0.1,64,64,10,0.9,0.9,48,0.1,10,0.09673635,0.90326365,1.107802582,0.504037149
9,200,0.1,96,96,15,0.9,0.9,48,0.1,10,0.0967836,0.9032164,1.087780865,0.504037149
5,200,0.1,96,96,15,0.5,0.5,48,1,10,0.096798743,0.903201257,1.078601684,0.504037149
9,200,0.1,96,96,15,0.5,0.5,48,1,10,0.096803084,0.903196916,1.081838596,0.504037149
5,200,0.1,96,96,15,0.5,0.5,112,0.01,10,0.09682304,0.90317696,1.075645121,0.504037149
7,200,0.1,32,32,5,0.5,0.5,112,0.01,10,0.096824079,0.903175921,1.106917309,0.504037149
7,200,0.1,32,32,5,0.5,0.5,144,1,10,0.096844181,0.903155819,1.102630633,0.504037149
9,100,0.2,32,32,5,0.5,0.5,144,1,10,0.096845308,0.903154692,1.11558204,0.504037149
7,200,0.1,64,64,10,0.5,0.5,48,0.1,10,0.096860759,0.903139241,1.096895051,0.504037149
7,200,0.1,32,32,5,0.5,0.5,144,0.01,10,0.096883675,0.903116325,1.104820986,0.504037149
7,200,0.1,32,32,5,0.7,0.7,48,0.01,10,0.097073697,0.902926303,1.126099881,0.504037149
7,200,0.1,32,32,5,0.5,0.5,144,0.1,10,0.097092512,0.902907488,1.106358935,0.504037149
5,200,0.1,96,96,15,0.5,0.5,48,0.1,10,0.097104375,0.902895625,1.080553116,0.504037149
5,200,0.1,32,32,5,0.5,0.5,16,0.01,10,0.097148838,0.902851162,1.094063028,0.504037149
5,100,0.2,64,64,10,0.5,0.5,144,0.01,10,0.097166021,0.902833979,1.084404426,0.504037149
9,100,0.2,96,96,15,0.5,0.5,16,0.01,10,0.097172488,0.902827512,1.081155535,0.504037149
9,200,0.1,32,32,5,0.5,0.5,16,0.01,10,0.09720898,0.90279102,1.116033921,0.504037149
7,100,0.2,128,128,20,0.5,0.5,112,0.01,10,0.097210039,0.902789961,1.078613503,0.504037149
9,100,0.2,128,128,20,0.5,0.5,112,0.01,10,0.097210039,0.902789961,1.07728976,0.504037149
7,200,0.1,64,64,10,0.7,0.7,112,0.1,10,0.097213865,0.902786135,1.092447106,0.504037149
9,200,0.1,64,64,10,0.7,0.7,112,0.01,10,0.097229093,0.902770907,1.096489331,0.504037149
