max_depth_XGB,reg_lambda_XGB,reg_lambda_LGB,learning_rate_XGB,n_estimators_XGB,num_leaves_LGB,min_child_samples_LGB,subsample_XGB,colsample_bytree_XGB,subsample_LGB,colsample_bytree_LGB,max_depth_LGB,min_child_weight_XGB,max_bin_LGB,reg_alpha_XGB,reg_alpha_LGB,learning_rate_XGB,num_iterations_LGB,degree,mse,r2
9,9,2.8125,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.193039407,0.806960593
5,5,1.5625,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.193077635,0.806922365
7,7,2.1875,0.1,100,96,96,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.193085298,0.806914702
5,5,1.5625,0.1,100,64,64,0.7,0.7,0.7,0.7,5,80,80,1,1,0.05,200,10,0.193117749,0.806882251
5,5,1.5625,0.1,100,128,128,0.7,0.7,0.7,0.7,5,80,80,0.01,0.01,0.05,200,10,0.193120562,0.806879438
9,9,2.8125,0.1,100,96,96,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.193142942,0.806857058
5,5,1.5625,0.1,100,32,32,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.193167773,0.806832227
9,9,2.8125,0.05,200,64,64,0.5,0.5,0.9,0.9,5,80,80,0.01,0.01,0.05,200,10,0.193199452,0.806800548
5,5,1.5625,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.193250965,0.806749035
5,5,1.5625,0.1,100,96,96,0.9,0.9,0.5,0.5,9,144,144,0.01,0.01,0.1,100,10,0.193295434,0.806704566
5,5,1.5625,0.05,200,128,128,0.7,0.7,0.7,0.7,9,144,144,0.1,0.1,0.05,200,10,0.193302714,0.806697286
7,7,2.1875,0.05,200,64,64,0.9,0.9,0.5,0.5,9,144,144,0.1,0.1,0.05,200,10,0.193312739,0.806687261
7,7,2.1875,0.1,100,64,64,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.1,100,10,0.193371757,0.806628243
7,7,2.1875,0.1,100,128,128,0.9,0.9,0.5,0.5,5,80,80,1,1,0.1,100,10,0.193373031,0.806626969
9,9,2.8125,0.1,100,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.193388345,0.806611655
5,5,1.5625,0.05,200,128,128,0.9,0.9,0.5,0.5,5,80,80,0.1,0.1,0.1,100,10,0.193403285,0.806596715
5,5,1.5625,0.05,200,128,128,0.5,0.5,0.9,0.9,5,80,80,0.1,0.1,0.05,200,10,0.19345129,0.80654871
9,9,2.8125,0.05,200,32,32,0.7,0.7,0.7,0.7,7,112,112,0.1,0.1,0.1,100,10,0.193458658,0.806541342
