min_samples_split_randomc,n_estimators_randomr,n_estimators_randomc,max_depth_randomr,max_depth_randomc,min_samples_split_randomr,max_features_randomr,max_samples_randomr,max_features_randomc,max_samples_randomc,min_samples_leaf_randomr,min_samples_leaf_randomc,degree,mse,r2
48,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.22258705074233326,0.7774129492576667
48,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.22493639902142326,0.7750636009785767
16,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.22764842805950314,0.7723515719404969
16,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.2287117755285945,0.7712882244714054
16,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.2289303277292944,0.7710696722707056
48,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.2300027649702171,0.7699972350297829
16,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.23030181756131593,0.769698182438684
16,50,100,5,5,80,0.7,0.7,0.7,0.7,7,7,10,0.23086974530376486,0.7691302546962351
48,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.23124749320338114,0.7687525067966189
48,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.2320767603636682,0.7679232396363318
16,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,7,7,10,0.23281889286495364,0.7671811071350464
16,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.2333090903397088,0.7666909096602912
16,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.23339729460541658,0.7666027053945834
16,50,100,5,5,80,0.7,0.7,0.7,0.7,5,5,10,0.2334127602940463,0.7665872397059537
16,100,50,5,5,80,0.7,0.7,0.7,0.7,5,5,10,0.23370874340496767,0.7662912565950324
48,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.2337257152764005,0.7662742847235995
16,100,50,5,5,80,0.7,0.7,0.7,0.7,1,1,10,0.23372717935973658,0.7662728206402634
48,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.2346201916329309,0.7653798083670691
16,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,5,5,10,0.23515595625770683,0.7648440437422932
16,50,100,5,5,80,0.7,0.7,0.7,0.7,1,1,10,0.2351583183775521,0.7648416816224479
48,50,100,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.23523028255693001,0.76476971744307
48,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,3,3,10,0.23524797349330417,0.7647520265066958
16,50,100,5,5,80,0.5,0.5,0.8999999999999999,0.8999999999999999,7,7,10,0.23552338729192296,0.7644766127080771
16,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,1,1,10,0.2355562234685175,0.7644437765314824
80,100,50,5,5,80,0.9,0.9,0.4999999999999999,0.4999999999999999,9,9,10,0.2360454343053394,0.7639545656946606
16,100,50,5,5,80,0.7,0.7,0.7,0.7,3,3,10,0.23610822997195374,0.7638917700280463
16,50,100,5,5,80,0.7,0.7,0.7,0.7,3,3,10,0.236532806057344,0.763467193942656
48,100,50,5,5,80,0.7,0.7,0.7,0.7,9,9,10,0.23657535943032118,0.7634246405696788
