n_estimators_random,penalty_逻辑回归,max_features_random,max_samples_random,min_samples_leaf_random,max_depth_random,min_samples_split_random,C_逻辑回归,degree,mse,r2,mse_y,auc_t
100,l2,0.5,0.5,7,7,80,0.1,5,0.334166106,0.665833894,1.05896733,0.50672502
100,l2,0.7,0.7,5,5,48,10,5,0.334179129,0.665820871,1.060330108,0.506254776
50,l2,0.7,0.7,7,7,80,10,5,0.334180302,0.665819698,1.060119571,0.506254776
100,l1,0.5,0.5,3,3,16,1,5,0.334185766,0.665814234,1.064485755,0.513925627
100,l1,0.9,0.9,7,7,80,1,5,0.334188044,0.665811956,1.059756559,0.513925627
50,l2,0.7,0.7,7,7,80,0.1,5,0.334206515,0.665793485,1.060119571,0.50672502
100,l1,0.7,0.7,7,7,80,10,5,0.334265836,0.665734164,1.059968054,0.507590696
100,l2,0.7,0.7,7,7,80,0.1,5,0.334292556,0.665707444,1.059968054,0.50672502
100,l2,0.7,0.7,7,7,80,10,5,0.334314501,0.665685499,1.059968054,0.506254776
100,l2,0.9,0.9,7,7,80,1,5,0.334472383,0.665527617,1.059756559,0.506313556
100,l1,0.9,0.9,7,7,80,10,5,0.334485922,0.665514078,1.059756559,0.507590696
100,l2,0.9,0.9,7,7,80,0.1,5,0.334506495,0.665493505,1.059756559,0.50672502
100,l2,0.9,0.9,7,7,80,10,5,0.334541004,0.665458996,1.059756559,0.506254776
50,l1,0.5,0.5,7,7,80,1,5,0.334856169,0.665143831,1.058931592,0.513925627
100,l2,0.5,0.5,3,3,16,10,5,0.334970458,0.665029542,1.064485755,0.506254776
100,l1,0.5,0.5,3,3,16,10,5,0.334975087,0.665024913,1.064485755,0.507590696
100,l1,0.9,0.9,9,9,112,1,5,0.335321575,0.664678425,1.058644564,0.513925627
50,l1,0.5,0.5,7,7,80,10,5,0.335511826,0.664488174,1.058931592,0.507590696
50,l2,0.5,0.5,7,7,80,1,5,0.335530617,0.664469383,1.058931592,0.506313556
50,l2,0.5,0.5,7,7,80,10,5,0.335565584,0.664434416,1.058931592,0.506254776
100,l1,0.9,0.9,9,9,112,10,5,0.335653656,0.664346344,1.058644564,0.507590696
100,l2,0.9,0.9,9,9,112,10,5,0.335691465,0.664308535,1.058644564,0.506254776
100,l2,0.9,0.9,9,9,112,1,5,0.335732746,0.664267254,1.058644564,0.506313556
50,l2,0.5,0.5,7,7,80,0.1,5,0.335789807,0.664210193,1.058931592,0.50672502
100,l1,0.9,0.9,5,5,48,1,5,0.33590806,0.66409194,1.059888743,0.513925627
100,l1,0.5,0.5,5,5,48,0.1,5,0.336136446,0.663863554,1.061356764,0.5
100,l2,0.9,0.9,5,5,48,0.1,5,0.336166949,0.663833051,1.059888743,0.50672502
100,l2,0.9,0.9,9,9,112,0.1,5,0.336251785,0.663748215,1.058644564,0.50672502
50,l1,0.5,0.5,7,7,80,0.1,5,0.336349845,0.663650155,1.058931592,0.5
100,l2,0.9,0.9,3,3,16,10,5,0.336397586,0.663602414,1.059013192,0.506254776
100,l1,0.9,0.9,3,3,16,10,5,0.336410315,0.663589685,1.059013192,0.507590696
100,l2,0.9,0.9,5,5,48,1,5,0.336600946,0.663399054,1.059888743,0.506313556
100,l1,0.9,0.9,5,5,48,10,5,0.33661597,0.66338403,1.059888743,0.507590696
100,l2,0.9,0.9,5,5,48,10,5,0.33666141,0.66333859,1.059888743,0.506254776
50,l1,0.5,0.5,9,9,112,1,5,0.336726551,0.663273449,1.060011446,0.513925627
50,l1,0.9,0.9,7,7,80,1,5,0.336733458,0.663266542,1.061791357,0.513925627
100,l2,0.9,0.9,3,3,16,1,5,0.336733534,0.663266466,1.059013192,0.506313556
50,l1,0.7,0.7,5,5,48,1,5,0.336873274,0.663126726,1.06095441,0.513925627
50,l1,0.5,0.5,5,5,48,1,5,0.337239645,0.662760355,1.060880798,0.513925627
100,l1,0.7,0.7,5,5,48,0.1,5,0.337246323,0.662753677,1.060330108,0.5
100,l1,0.9,0.9,7,7,80,0.1,5,0.337364797,0.662635203,1.059756559,0.5
50,l1,0.7,0.7,5,5,48,10,5,0.337456863,0.662543137,1.06095441,0.507590696
50,l2,0.7,0.7,5,5,48,10,5,0.337519559,0.662480441,1.06095441,0.506254776
50,l2,0.9,0.9,7,7,80,0.1,5,0.337533141,0.662466859,1.061791357,0.50672502
50,l2,0.7,0.7,5,5,48,1,5,0.337594375,0.662405625,1.06095441,0.506313556
50,l2,0.7,0.7,5,5,48,0.1,5,0.337641128,0.662358872,1.06095441,0.50672502
50,l1,0.9,0.9,7,7,80,10,5,0.337641603,0.662358397,1.061791357,0.507590696
50,l2,0.9,0.9,7,7,80,10,5,0.33770613,0.66229387,1.061791357,0.506254776
