min_child_samples_LGBC,num_leaves_LGBC,reg_lambda_LGBC,learning_rate_LGBR,num_iterations_LGBR,num_leaves_LGBR,min_child_samples_LGBR,reg_lambda_LGBR,subsample_LGBR,colsample_bytree_LGBR,subsample_LGBC,colsample_bytree_LGBC,max_bin_LGBR,max_bin_LGBC,max_depth_LGBR,max_depth_LGBC,reg_alpha_LGBR,reg_alpha_LGBC,learning_rate_LGBC,num_iterations_LGBC,degree,mse,r2,mse_y,auc_t
48,48,2.8125,0.2,100,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.104990416,0.895009584,1.081129469,0.506524632
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.105035458,0.894964542,1.092646203,0.506230729
32,32,2.1875,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.105048793,0.894951207,1.091598478,0.507574665
48,48,2.8125,0.1,200,64,64,10,0.9,0.9,0.5,0.5,48,48,3,3,0.01,0.01,0.1,100,10,0.105078073,0.894921927,1.073079453,0.50350011
48,48,2.8125,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,0.01,0.01,0.05,200,10,0.105078273,0.894921727,1.097687833,0.518833796
16,16,1.5625,0.2,100,64,64,10,0.5,0.5,0.9,0.9,144,144,9,9,1,1,0.05,200,10,0.105097376,0.894902624,1.09266859,0.516859306
16,16,1.5625,0.2,100,32,32,5,0.7,0.7,0.7,0.7,80,80,5,5,0.01,0.01,0.05,200,10,0.105132735,0.894867265,1.099321632,0.495551387
16,16,1.5625,0.2,100,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.105133919,0.894866081,1.094965836,0.509557169
16,16,1.5625,0.1,200,128,128,20,0.9,0.9,0.5,0.5,80,80,5,5,0.1,0.1,0.1,100,10,0.105162226,0.894837774,1.075068904,0.514834052
32,32,2.1875,0.1,200,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.1,100,10,0.105164888,0.894835112,1.088420392,0.507398323
32,32,2.1875,0.2,100,64,64,10,0.5,0.5,0.9,0.9,80,80,5,5,0.01,0.01,0.05,200,10,0.105199377,0.894800623,1.092646203,0.518379583
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,1,1,0.1,100,10,0.1052187,0.8947813,1.080042825,0.50902013
16,16,1.5625,0.1,200,96,96,15,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.1,100,10,0.10528725,0.89471275,1.092316133,0.513372556
16,16,1.5625,0.1,200,32,32,5,0.9,0.9,0.5,0.5,144,144,9,9,0.1,0.1,0.05,200,10,0.10530359,0.89469641,1.14254416,0.502685199
16,16,1.5625,0.1,200,64,64,10,0.9,0.9,0.5,0.5,80,80,5,5,0.01,0.01,0.1,100,10,0.105306837,0.894693163,1.091676463,0.509557169
32,32,2.1875,0.1,200,32,32,5,0.9,0.9,0.5,0.5,48,48,3,3,0.1,0.1,0.1,100,10,0.105351987,0.894648013,1.080025481,0.509431593
