max_depth_LGB,min_child_samples_LGB,num_leaves_LGB,num_iterations_LGB,learning_rate_LGB,penalty_逻辑回归,subsample_LGB,colsample_bytree_LGB,reg_lambda_LGB,max_bin_LGB,reg_alpha_LGB,C_逻辑回归,degree,mse,r2,mse_y,auc_t
7,32,32,200,0.1,l1,0.5,0.5,1,16,0.1,1,10,0.102980981,0.897019019,1.075434624,0.513925627
7,32,32,200,0.1,l1,0.7,0.7,1,16,0.01,0.1,10,0.102981383,0.897018617,1.079546846,0.5
7,32,32,100,0.2,l2,0.5,0.5,7,112,0.1,1,10,0.103049958,0.896950042,1.081440946,0.506313556
9,64,64,100,0.2,l1,0.7,0.7,5,80,1,10,10,0.103119698,0.896880302,1.094095889,0.507590696
9,64,64,200,0.1,l1,0.7,0.7,9,144,0.01,0.1,10,0.10312938,0.89687062,1.083041542,0.5
9,64,64,100,0.2,l2,0.9,0.9,7,112,0.01,0.1,10,0.103135774,0.896864226,1.089163613,0.50672502
9,64,64,200,0.1,l1,0.9,0.9,7,112,1,10,10,0.10320653,0.89679347,1.087706619,0.507590696
9,64,64,100,0.2,l2,0.7,0.7,5,80,1,10,10,0.103227958,0.896772042,1.094095889,0.506254776
9,64,64,200,0.1,l2,0.9,0.9,7,112,1,10,10,0.1032808,0.8967192,1.087706619,0.506254776
7,32,32,200,0.1,l1,0.5,0.5,3,48,0.01,0.1,10,0.103306238,0.896693762,1.085379449,0.5
9,64,64,100,0.2,l2,0.5,0.5,7,112,0.01,0.1,10,0.103325056,0.896674944,1.083867623,0.50672502
9,64,64,200,0.1,l1,0.5,0.5,7,112,1,10,10,0.103341165,0.896658835,1.086443125,0.507590696
9,64,64,200,0.1,l2,0.7,0.7,7,112,0.01,0.1,10,0.103345378,0.896654622,1.081017404,0.50672502
9,64,64,200,0.1,l2,0.5,0.5,7,112,1,10,10,0.103449818,0.896550182,1.086443125,0.506254776
9,64,64,100,0.2,l1,0.5,0.5,7,112,1,10,10,0.103623914,0.896376086,1.08345861,0.507590696
7,32,32,100,0.2,l2,0.5,0.5,5,80,0.1,1,10,0.103628723,0.896371277,1.085697598,0.506313556
