max_depth_XGB,reg_lambda_XGB,num_iterations_LGB,n_estimators_XGB,learning_rate_LGB,learning_rate_XGB,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,max_bin_LGB,max_depth_LGB,reg_alpha_LGB,reg_alpha_XGB,degree,mse,r2
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.112496656,0.887503344
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,0.01,0.01,10,0.112502533,0.887497467
7,7,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.112583443,0.887416557
9,9,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,0.01,0.01,10,0.112613059,0.887386941
9,9,100,100,0.2,0.2,96,96,15,0.7,0.7,0.7,0.7,48,80,7,0.1,0.1,10,0.112643026,0.887356974
7,7,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,80,144,11,0.1,0.1,10,0.112678738,0.887321262
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,48,80,7,0.1,0.1,10,0.112702561,0.887297439
9,9,200,200,0.1,0.1,32,32,5,0.5,0.5,0.9,0.9,64,112,9,0.1,0.1,10,0.112865996,0.887134004
9,9,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.112932213,0.887067787
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,1,1,10,0.11293228,0.88706772
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.112955845,0.887044155
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.112998665,0.887001335
5,5,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,48,80,7,0.1,0.1,10,0.113027557,0.886972443
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,32,48,5,0.01,0.01,10,0.113066726,0.886933274
7,7,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.113336448,0.886663552
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,1,1,10,0.113665471,0.886334529
9,9,100,100,0.2,0.2,128,128,20,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.113668788,0.886331212
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,48,80,7,0.01,0.01,10,0.113760574,0.886239426
9,9,100,100,0.2,0.2,64,64,10,0.5,0.5,0.9,0.9,32,48,5,1,1,10,0.113782364,0.886217636
7,7,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.113797403,0.886202597
7,7,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,80,144,11,0.1,0.1,10,0.113799004,0.886200996
7,7,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,64,112,9,1,1,10,0.113868705,0.886131295
9,9,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,48,80,7,0.01,0.01,10,0.113884006,0.886115994
5,5,200,200,0.1,0.1,32,32,5,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.113888197,0.886111803
7,7,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.113960465,0.886039535
7,7,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.114015657,0.885984343
7,7,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.114137987,0.885862013
5,5,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,80,144,11,1,1,10,0.11415336,0.88584664
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,80,144,11,0.01,0.01,10,0.114174413,0.885825587
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,64,112,9,0.01,0.01,10,0.114244946,0.885755054
9,9,200,200,0.1,0.1,32,32,5,0.7,0.7,0.7,0.7,32,48,5,0.1,0.1,10,0.114297872,0.885702128
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,48,80,7,0.1,0.1,10,0.114321639,0.885678361
7,7,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,80,144,11,0.01,0.01,10,0.1143632,0.8856368
7,7,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.114393567,0.885606433
9,9,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.114434441,0.885565559
9,9,200,200,0.1,0.1,128,128,20,0.9,0.9,0.5,0.5,80,144,11,1,1,10,0.114472023,0.885527977
7,7,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,32,48,5,1,1,10,0.114481996,0.885518004
7,7,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.114525126,0.885474874
5,5,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.114545838,0.885454162
9,9,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,80,144,11,1,1,10,0.114594261,0.885405739
5,5,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.01,0.01,10,0.114603347,0.885396653
9,9,100,100,0.2,0.2,64,64,10,0.9,0.9,0.5,0.5,48,80,7,1,1,10,0.114615294,0.885384706
9,9,100,100,0.2,0.2,96,96,15,0.7,0.7,0.7,0.7,80,144,11,0.1,0.1,10,0.114630165,0.885369835
9,9,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,80,144,11,0.1,0.1,10,0.11465122,0.88534878
7,7,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,48,80,7,1,1,10,0.1146805,0.8853195
7,7,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,80,144,11,0.1,0.1,10,0.114691905,0.885308095
7,7,200,200,0.1,0.1,64,64,10,0.5,0.5,0.9,0.9,48,80,7,0.01,0.01,10,0.11476943,0.88523057
9,9,200,200,0.1,0.1,128,128,20,0.9,0.9,0.5,0.5,80,144,11,0.01,0.01,10,0.114775751,0.885224249
5,5,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,48,80,7,1,1,10,0.114853668,0.885146332
7,7,100,100,0.2,0.2,96,96,15,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.114873995,0.885126005
9,9,200,200,0.1,0.1,96,96,15,0.9,0.9,0.5,0.5,32,48,5,0.1,0.1,10,0.114878619,0.885121381
9,9,100,100,0.2,0.2,32,32,5,0.9,0.9,0.5,0.5,64,112,9,0.01,0.01,10,0.114985006,0.885014994
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,80,144,11,0.1,0.1,10,0.115012331,0.884987669
5,5,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,0.1,0.1,10,0.11502097,0.88497903
5,5,200,200,0.1,0.1,64,64,10,0.7,0.7,0.7,0.7,64,112,9,0.01,0.01,10,0.115035046,0.884964954
7,7,100,100,0.2,0.2,64,64,10,0.7,0.7,0.7,0.7,64,112,9,1,1,10,0.115063574,0.884936426
5,5,200,200,0.1,0.1,64,64,10,0.9,0.9,0.5,0.5,64,112,9,0.1,0.1,10,0.115066478,0.884933522
9,9,200,200,0.1,0.1,96,96,15,0.5,0.5,0.9,0.9,80,144,11,0.01,0.01,10,0.115074535,0.884925465
9,9,200,200,0.1,0.1,96,96,15,0.7,0.7,0.7,0.7,32,48,5,0.01,0.01,10,0.115079837,0.884920163
5,5,200,200,0.1,0.1,32,32,5,0.9,0.9,0.5,0.5,80,144,11,0.1,0.1,10,0.115120616,0.884879384
