max_depth_LGB,n_estimators_random,learning_rate_LGB,num_iterations_LGB,min_samples_split_random,num_leaves_LGB,min_child_samples_LGB,reg_lambda_LGB,subsample_LGB,colsample_bytree_LGB,max_features_random,max_samples_random,max_depth_random,max_bin_LGB,min_samples_leaf_random,reg_alpha,degree,mse,r2,mse_y,auc_t
9,100,0.1,200,48,96,96,15,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.088675636,0.911324364,1.082861785,0.519370835
9,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,9,144,9,1,10,0.088707743,0.911292257,1.09266859,0.517361612
9,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,5,80,5,0.1,10,0.088716011,0.911283989,1.088048883,0.511852279
7,50,0.2,100,32,64,64,10,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.088742604,0.911257396,1.096824365,0.52767224
9,100,0.1,200,32,64,64,10,0.5,0.5,0.9,0.9,5,80,5,0.01,10,0.088788045,0.911211955,1.101968296,0.519370835
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,1,10,0.088855462,0.911144538,1.074185772,0.508573932
7,50,0.2,100,48,96,96,15,0.9,0.9,0.5,0.5,9,144,9,1,10,0.088872297,0.911127703,1.093300501,0.511109508
5,50,0.2,100,32,64,64,10,0.7,0.7,0.7,0.7,7,112,7,0.01,10,0.088892281,0.911107719,1.091547466,0.512237024
9,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,9,144,9,0.01,10,0.088978299,0.911021701,1.090918042,0.508573932
9,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,7,112,7,0.1,10,0.089041021,0.910958979,1.113336863,0.505683002
9,50,0.2,100,48,96,96,15,0.5,0.5,0.9,0.9,9,144,9,1,10,0.089069121,0.910930879,1.083595182,0.517361612
5,50,0.2,100,48,96,96,15,0.7,0.7,0.7,0.7,7,112,7,1,10,0.089144748,0.910855252,1.078963907,0.512237024
5,100,0.1,200,48,96,96,15,0.9,0.9,0.5,0.5,7,112,7,0.01,10,0.089174022,0.910825978,1.080727299,0.519809017
5,50,0.2,100,32,64,64,10,0.9,0.9,0.5,0.5,9,144,9,0.1,10,0.089177698,0.910822302,1.092615991,0.511109508
7,50,0.2,100,48,96,96,15,0.5,0.5,0.9,0.9,7,112,7,0.01,10,0.089205053,0.910794947,1.085043527,0.52767224
7,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,5,80,5,0.1,10,0.089281737,0.910718263,1.095334047,0.515069174
9,100,0.1,200,32,64,64,10,0.7,0.7,0.7,0.7,5,80,5,1,10,0.089285828,0.910714172,1.094132694,0.515069174
