eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.01,350,100,16,0.7,0.7,5,5,5,0.324511298,0.675488702
0.0001,450,50,48,0.5,0.5,5,5,5,0.324612837,0.675387163
0.0001,450,50,64,0.5,0.5,5,5,5,0.324612837,0.675387163
0.0001,450,50,32,0.5,0.5,5,5,5,0.324612837,0.675387163
0.0001,450,50,16,0.5,0.5,5,5,5,0.324612837,0.675387163
0.0001,450,100,48,0.7,0.7,7,7,5,0.324770438,0.675229562
0.0001,450,100,16,0.7,0.7,7,7,5,0.324770438,0.675229562
0.0001,450,100,32,0.7,0.7,7,7,5,0.324770438,0.675229562
0.0001,450,100,64,0.7,0.7,7,7,5,0.324770438,0.675229562
0.0001,450,50,64,0.9,0.9,9,9,5,0.324801397,0.675198603
0.0001,450,50,32,0.9,0.9,9,9,5,0.324801397,0.675198603
0.0001,450,50,48,0.9,0.9,9,9,5,0.324801397,0.675198603
0.0001,450,50,16,0.9,0.9,9,9,5,0.324801397,0.675198603
0.0001,450,50,64,0.7,0.7,7,7,5,0.324980634,0.675019366
0.0001,450,50,16,0.7,0.7,7,7,5,0.324980634,0.675019366
0.0001,450,50,48,0.7,0.7,7,7,5,0.324980634,0.675019366
0.0001,450,50,32,0.7,0.7,7,7,5,0.324980634,0.675019366
0.01,350,50,48,0.9,0.9,9,9,5,0.325332578,0.674667422
0.01,350,50,64,0.9,0.9,9,9,5,0.325332578,0.674667422
0.01,350,50,16,0.9,0.9,9,9,5,0.325332578,0.674667422
0.01,350,50,32,0.9,0.9,9,9,5,0.325332578,0.674667422
0.0001,450,100,64,0.7,0.7,5,5,5,0.325409608,0.674590392
0.0001,450,100,32,0.7,0.7,5,5,5,0.325409608,0.674590392
0.0001,450,100,16,0.7,0.7,5,5,5,0.325409608,0.674590392
0.0001,450,100,48,0.7,0.7,5,5,5,0.325409608,0.674590392
0.01,350,100,64,0.7,0.7,3,3,5,0.325693644,0.674306356
0.01,350,100,48,0.7,0.7,3,3,5,0.325693644,0.674306356
0.01,350,100,16,0.7,0.7,3,3,5,0.325693644,0.674306356
0.01,350,100,32,0.7,0.7,3,3,5,0.325693644,0.674306356
0.01,350,100,32,0.9,0.9,9,9,5,0.325723183,0.674276817
0.01,350,100,48,0.9,0.9,9,9,5,0.325723183,0.674276817
0.01,350,100,16,0.9,0.9,9,9,5,0.325723183,0.674276817
0.01,350,100,64,0.9,0.9,9,9,5,0.325723183,0.674276817
0.0001,450,100,48,0.7,0.7,3,3,5,0.325834802,0.674165198
0.0001,450,100,16,0.7,0.7,3,3,5,0.325834802,0.674165198
0.0001,450,100,64,0.7,0.7,3,3,5,0.325834802,0.674165198
