eps_lasso,n_alphas_lasso,n_estimators_XGB,learning_rate_XGB,max_depth_XGB,reg_lambda_XGB,subsample_XGB,colsample_bytree_XGB,min_child_weight_XGB,reg_alpha_XGB,degree,mse,r2
0.0001,450,100,0.2,5,5,0.9,0.9,112,1.0,10,0.12143632304399532,0.8785636769560047
0.01,350,100,0.2,7,7,0.7,0.7,80,0.1,10,0.12144306476495176,0.8785569352350482
0.0001,450,100,0.2,7,7,0.7,0.7,80,0.1,10,0.12145804395586561,0.8785419560441344
0.01,350,200,0.1,9,9,0.7,0.7,80,1.0,10,0.12147629408486947,0.8785237059151305
0.01,350,100,0.2,5,5,0.9,0.9,112,0.1,10,0.12147684059512827,0.8785231594048717
0.0001,450,200,0.1,9,9,0.7,0.7,80,1.0,10,0.12149279169594064,0.8785072083040594
0.0001,450,100,0.2,5,5,0.9,0.9,112,0.1,10,0.1214949952284707,0.8785050047715293
0.01,350,100,0.2,5,5,0.9,0.9,80,0.01,10,0.1215274704337874,0.8784725295662126
0.0001,450,100,0.2,5,5,0.9,0.9,80,0.01,10,0.12153782164901221,0.8784621783509878
0.01,350,100,0.2,3,3,0.9,0.9,112,1.0,10,0.12156963583171838,0.8784303641682816
0.01,350,100,0.2,9,9,0.9,0.9,112,0.01,10,0.12156997762753298,0.878430022372467
0.01,350,100,0.2,7,7,0.9,0.9,112,0.1,10,0.12158688864782101,0.878413111352179
0.0001,450,100,0.2,3,3,0.9,0.9,112,1.0,10,0.12158981917198071,0.8784101808280192
0.0001,450,100,0.2,9,9,0.9,0.9,112,0.01,10,0.12159139261464443,0.8784086073853555
0.0001,450,100,0.2,7,7,0.9,0.9,112,0.1,10,0.12161037790645188,0.8783896220935481
0.01,350,100,0.2,9,9,0.7,0.7,80,0.01,10,0.12161466608211248,0.8783853339178875
0.0001,450,100,0.2,9,9,0.7,0.7,80,0.01,10,0.12163026935454152,0.8783697306454585
0.01,350,100,0.2,9,9,0.9,0.9,112,0.1,10,0.12168935412151162,0.8783106458784884
0.01,350,100,0.2,5,5,0.7,0.7,80,0.1,10,0.12170731270016294,0.8782926872998371
0.0001,450,100,0.2,9,9,0.9,0.9,112,0.1,10,0.12171273167583145,0.8782872683241686
0.0001,450,100,0.2,5,5,0.7,0.7,80,0.1,10,0.12172228543084926,0.8782777145691507
0.01,350,100,0.2,5,5,0.7,0.7,80,1.0,10,0.12181914241463157,0.8781808575853685
0.0001,450,100,0.2,5,5,0.7,0.7,80,1.0,10,0.12183622097739351,0.8781637790226064
0.01,350,100,0.2,3,3,0.7,0.7,80,0.01,10,0.1220772381274141,0.8779227618725859
0.0001,450,100,0.2,3,3,0.7,0.7,80,0.01,10,0.12209645768014282,0.8779035423198571
0.01,350,100,0.2,7,7,0.7,0.7,80,0.01,10,0.12213142122699792,0.8778685787730021
0.0001,450,100,0.2,7,7,0.7,0.7,80,0.01,10,0.12214733089104754,0.8778526691089524
0.01,350,100,0.2,9,9,0.5,0.5,48,1.0,10,0.12250317166445357,0.8774968283355464
0.0001,450,100,0.2,9,9,0.5,0.5,48,1.0,10,0.12251545219302114,0.8774845478069788
0.01,350,100,0.2,5,5,0.7,0.7,80,0.01,10,0.12253364633347104,0.8774663536665289
0.0001,450,100,0.2,5,5,0.7,0.7,80,0.01,10,0.12255102959574528,0.8774489704042547
0.01,350,100,0.2,3,3,0.7,0.7,80,0.1,10,0.12259534524022342,0.8774046547597766
0.0001,450,100,0.2,3,3,0.7,0.7,80,0.1,10,0.12261387780923004,0.87738612219077
0.01,350,100,0.2,9,9,0.5,0.5,48,0.1,10,0.12367594263659855,0.8763240573634015
0.0001,450,100,0.2,9,9,0.5,0.5,48,0.1,10,0.12368978073677242,0.8763102192632276
0.01,350,100,0.2,7,7,0.5,0.5,48,1.0,10,0.1239372881429315,0.8760627118570685
0.0001,450,100,0.2,7,7,0.5,0.5,48,1.0,10,0.12394911597855632,0.8760508840214437
0.01,350,100,0.2,9,9,0.5,0.5,48,0.01,10,0.12401866590686321,0.8759813340931368
0.0001,450,100,0.2,9,9,0.5,0.5,48,0.01,10,0.12403251747050699,0.875967482529493
0.01,350,200,0.1,3,3,0.7,0.7,48,0.1,10,0.12423949087850333,0.8757605091214966
0.01,350,100,0.2,3,3,0.5,0.5,48,1.0,10,0.12425870917851045,0.8757412908214895
0.0001,450,200,0.1,3,3,0.7,0.7,48,0.1,10,0.12425884178355392,0.875741158216446
0.0001,450,100,0.2,3,3,0.5,0.5,48,1.0,10,0.12427297152792355,0.8757270284720764
0.01,350,200,0.1,9,9,0.7,0.7,48,1.0,10,0.12427341402373666,0.8757265859762633
0.0001,450,200,0.1,9,9,0.7,0.7,48,1.0,10,0.12428937327666212,0.8757106267233379
0.01,350,100,0.2,3,3,0.5,0.5,48,0.01,10,0.12442410449837847,0.8755758955016215
0.01,350,100,0.2,3,3,0.5,0.5,48,0.1,10,0.12443542462189425,0.8755645753781057
0.0001,450,100,0.2,3,3,0.5,0.5,48,0.01,10,0.12444267797956153,0.8755573220204385
0.0001,450,100,0.2,3,3,0.5,0.5,48,0.1,10,0.12445476495236643,0.8755452350476336
0.01,350,100,0.2,9,9,0.7,0.7,48,0.1,10,0.12471620680017148,0.8752837931998285
0.01,350,100,0.2,5,5,0.5,0.5,48,0.01,10,0.12472202802880793,0.8752779719711921
0.0001,450,100,0.2,9,9,0.7,0.7,48,0.1,10,0.12473342919723768,0.8752665708027623
0.0001,450,100,0.2,5,5,0.5,0.5,48,0.01,10,0.12473461384941642,0.8752653861505836
0.01,350,100,0.2,7,7,0.7,0.7,48,0.01,10,0.12479867671651533,0.8752013232834847
0.0001,450,100,0.2,7,7,0.7,0.7,48,0.01,10,0.12481474029986839,0.8751852597001316
0.01,350,100,0.2,5,5,0.5,0.5,48,0.1,10,0.12494289059193969,0.8750571094080604
0.0001,450,100,0.2,5,5,0.5,0.5,48,0.1,10,0.124955588611836,0.875044411388164
0.01,350,100,0.2,7,7,0.5,0.5,48,0.01,10,0.12503851052703482,0.8749614894729651
0.0001,450,100,0.2,7,7,0.5,0.5,48,0.01,10,0.12504982248494784,0.8749501775150521
0.01,350,200,0.1,3,3,0.7,0.7,48,0.01,10,0.12514213550120173,0.8748578644987983
0.0001,450,200,0.1,3,3,0.7,0.7,48,0.01,10,0.12516188594729316,0.8748381140527068
0.01,350,200,0.1,9,9,0.7,0.7,48,0.1,10,0.12525220944650362,0.8747477905534964
0.0001,450,200,0.1,9,9,0.7,0.7,48,0.1,10,0.1252652817933019,0.8747347182066981
0.01,350,100,0.2,5,5,0.5,0.5,48,1.0,10,0.12528354659652874,0.8747164534034713
0.0001,450,100,0.2,5,5,0.5,0.5,48,1.0,10,0.12530066139027388,0.8746993386097262
0.01,350,100,0.2,7,7,0.5,0.5,48,0.1,10,0.1253364595784251,0.8746635404215749
0.0001,450,100,0.2,7,7,0.5,0.5,48,0.1,10,0.12534392512645137,0.8746560748735486
0.01,350,200,0.1,7,7,0.7,0.7,48,1.0,10,0.12537686622857064,0.8746231337714294
0.0001,450,200,0.1,7,7,0.7,0.7,48,1.0,10,0.12539641994672748,0.8746035800532725
0.01,350,100,0.2,7,7,0.7,0.7,48,0.1,10,0.12577303879564633,0.8742269612043536
0.0001,450,100,0.2,7,7,0.7,0.7,48,0.1,10,0.12578845718297316,0.8742115428170268
0.01,350,200,0.1,5,5,0.7,0.7,48,1.0,10,0.12593102301561088,0.8740689769843891
0.0001,450,200,0.1,5,5,0.7,0.7,48,1.0,10,0.12594527649889986,0.8740547235011001
0.01,350,200,0.1,9,9,0.7,0.7,48,0.01,10,0.12607954838119664,0.8739204516188034
0.0001,450,200,0.1,9,9,0.7,0.7,48,0.01,10,0.12609485750736454,0.8739051424926354
0.01,350,200,0.1,7,7,0.7,0.7,48,0.1,10,0.12635594130951677,0.8736440586904832
0.0001,450,200,0.1,7,7,0.7,0.7,48,0.1,10,0.1263744937093328,0.8736255062906673
0.01,350,100,0.2,9,9,0.7,0.7,48,0.01,10,0.12637626243495598,0.873623737565044
0.0001,450,100,0.2,9,9,0.7,0.7,48,0.01,10,0.1263951953212433,0.8736048046787567
0.01,350,200,0.1,3,3,0.7,0.7,48,1.0,10,0.12689833943754514,0.8731016605624549
0.0001,450,200,0.1,3,3,0.7,0.7,48,1.0,10,0.12691971244760764,0.8730802875523924
0.01,350,200,0.1,3,3,0.9,0.9,48,0.01,10,0.12720180347744509,0.8727981965225549
0.0001,450,200,0.1,3,3,0.9,0.9,48,0.01,10,0.12721905292316554,0.8727809470768344
0.01,350,200,0.1,3,3,0.5,0.5,80,0.01,10,0.12735386986354102,0.872646130136459
0.01,350,200,0.1,3,3,0.5,0.5,80,0.1,10,0.1273617291108965,0.8726382708891035
0.01,350,200,0.1,5,5,0.5,0.5,80,0.01,10,0.12736776233044178,0.8726322376695582
0.01,350,200,0.1,5,5,0.5,0.5,80,0.1,10,0.12737551811850892,0.8726244818814911
0.0001,450,200,0.1,3,3,0.5,0.5,80,0.01,10,0.1273760834723934,0.8726239165276066
0.01,350,200,0.1,7,7,0.5,0.5,80,0.01,10,0.12738171519196265,0.8726182848080374
0.0001,450,200,0.1,3,3,0.5,0.5,80,0.1,10,0.12738385473023436,0.8726161452697656
0.01,350,200,0.1,7,7,0.5,0.5,80,0.1,10,0.12738950050191727,0.8726104994980828
0.0001,450,200,0.1,5,5,0.5,0.5,80,0.01,10,0.12738977149243563,0.8726102285075643
0.01,350,200,0.1,9,9,0.5,0.5,80,0.01,10,0.12739485586787874,0.8726051441321212
0.0001,450,200,0.1,5,5,0.5,0.5,80,0.1,10,0.1273975457150441,0.8726024542849559
0.0001,450,200,0.1,7,7,0.5,0.5,80,0.01,10,0.12740235134113398,0.872597648658866
0.01,350,200,0.1,9,9,0.5,0.5,80,0.1,10,0.12740289098994786,0.8725971090100522
0.0001,450,200,0.1,7,7,0.5,0.5,80,0.1,10,0.12741012652984698,0.872589873470153
0.0001,450,200,0.1,9,9,0.5,0.5,80,0.01,10,0.1274150108791949,0.8725849891208051
0.0001,450,200,0.1,9,9,0.5,0.5,80,0.1,10,0.12742278657670705,0.872577213423293
0.01,350,200,0.1,3,3,0.5,0.5,80,1.0,10,0.12743734146946448,0.8725626585305355
0.01,350,200,0.1,5,5,0.5,0.5,80,1.0,10,0.12745042053481948,0.8725495794651805
0.0001,450,200,0.1,3,3,0.5,0.5,80,1.0,10,0.12745914360570804,0.872540856394292
0.01,350,200,0.1,7,7,0.5,0.5,80,1.0,10,0.1274634526132218,0.8725365473867782
0.0001,450,200,0.1,5,5,0.5,0.5,80,1.0,10,0.12747222123704247,0.8725277787629575
0.01,350,200,0.1,9,9,0.5,0.5,80,1.0,10,0.12747465697899604,0.8725253430210039
0.0001,450,200,0.1,7,7,0.5,0.5,80,1.0,10,0.1274840276216038,0.8725159723783962
0.0001,450,200,0.1,9,9,0.5,0.5,80,1.0,10,0.12749495614701728,0.8725050438529827
0.01,350,200,0.1,9,9,0.9,0.9,48,0.1,10,0.1275086891229413,0.8724913108770587
0.01,350,200,0.1,7,7,0.9,0.9,48,1.0,10,0.12751358290656392,0.8724864170934361
0.0001,450,200,0.1,9,9,0.9,0.9,48,0.1,10,0.12752793701307763,0.8724720629869224
0.0001,450,200,0.1,7,7,0.9,0.9,48,1.0,10,0.12753256598225066,0.8724674340177494
0.01,350,100,0.2,7,7,0.7,0.7,48,1.0,10,0.1276013484620671,0.872398651537933
0.0001,450,100,0.2,7,7,0.7,0.7,48,1.0,10,0.12761721465114742,0.8723827853488526
0.01,350,100,0.2,9,9,0.7,0.7,48,1.0,10,0.12765440320880006,0.8723455967911999
0.01,350,200,0.1,3,3,0.5,0.5,112,0.01,10,0.12766512607768862,0.8723348739223113
0.0001,450,100,0.2,9,9,0.7,0.7,48,1.0,10,0.12766940940309437,0.8723305905969057
0.01,350,200,0.1,3,3,0.5,0.5,112,0.1,10,0.12767024121091333,0.8723297587890867
0.01,350,200,0.1,5,5,0.7,0.7,48,0.01,10,0.12767060799999616,0.8723293920000038
0.01,350,200,0.1,5,5,0.5,0.5,112,0.01,10,0.12767061471664398,0.872329385283356
0.01,350,200,0.1,5,5,0.5,0.5,112,0.1,10,0.1276759003535257,0.8723240996464743
0.01,350,200,0.1,7,7,0.5,0.5,112,0.01,10,0.12767596242102747,0.8723240375789725
0.01,350,200,0.1,9,9,0.5,0.5,112,0.01,10,0.12768099505679084,0.8723190049432091
0.01,350,200,0.1,7,7,0.5,0.5,112,0.1,10,0.12768135933336408,0.8723186406666359
0.01,350,200,0.1,9,9,0.5,0.5,112,0.1,10,0.12768653274788375,0.8723134672521162
0.0001,450,200,0.1,5,5,0.7,0.7,48,0.01,10,0.12768845391595057,0.8723115460840494
0.0001,450,200,0.1,3,3,0.5,0.5,112,0.01,10,0.12768958984367482,0.8723104101563252
0.0001,450,200,0.1,3,3,0.5,0.5,112,0.1,10,0.12769458840788514,0.8723054115921148
