eps_lasso,n_alphas_lasso,n_estimators_random,min_samples_split_random,max_features_random,max_samples_random,max_depth_random,min_samples_leaf_random,degree,mse,r2
0.0001,450,50,3,0.5,0.5,9,112,5,0.3213807996253328,0.6786192003746672
0.01,350,50,3,0.5,0.5,7,80,5,0.3213911796979168,0.6786088203020832
0.01,350,50,7,0.5,0.5,7,80,5,0.32139117969791703,0.678608820302083
0.01,350,50,9,0.5,0.5,7,80,5,0.3213911796979173,0.6786088203020827
0.01,350,50,5,0.5,0.5,7,80,5,0.3213911796979174,0.6786088203020826
0.01,350,50,3,0.5,0.5,9,112,5,0.32160165592316603,0.678398344076834
0.01,350,50,9,0.5,0.5,9,112,5,0.3216016559231661,0.678398344076834
0.01,350,50,7,0.5,0.5,9,112,5,0.32160165592316614,0.6783983440768339
0.01,350,50,5,0.5,0.5,9,112,5,0.32160165592316636,0.6783983440768336
0.0001,450,100,5,0.5,0.5,7,80,5,0.3216667197825216,0.6783332802174784
0.0001,450,100,9,0.5,0.5,7,80,5,0.32166671978252165,0.6783332802174784
0.0001,450,100,3,0.5,0.5,7,80,5,0.3216667197825218,0.6783332802174782
0.0001,450,100,7,0.5,0.5,7,80,5,0.32166671978252337,0.6783332802174766
0.0001,450,50,5,0.7,0.7,9,112,5,0.3218417364466963,0.6781582635533037
0.0001,450,50,9,0.7,0.7,9,112,5,0.32184173644669734,0.6781582635533027
0.0001,450,50,3,0.7,0.7,9,112,5,0.3218417364466979,0.6781582635533021
0.0001,450,50,7,0.7,0.7,9,112,5,0.32184173644669967,0.6781582635533003
0.01,350,100,3,0.5,0.5,3,16,5,0.32188455397542154,0.6781154460245784
0.01,350,100,7,0.5,0.5,3,16,5,0.3218845539754216,0.6781154460245784
0.01,350,100,9,0.5,0.5,3,16,5,0.32188455397542337,0.6781154460245766
0.01,350,100,5,0.5,0.5,3,16,5,0.32188455397542354,0.6781154460245764
0.0001,450,50,9,0.5,0.5,7,80,5,0.3223608410610213,0.6776391589389787
0.0001,450,50,3,0.5,0.5,7,80,5,0.3223608410610213,0.6776391589389787
0.0001,450,50,5,0.5,0.5,7,80,5,0.32236084106102175,0.6776391589389783
0.0001,450,50,7,0.5,0.5,7,80,5,0.3223608410610218,0.6776391589389782
0.01,350,100,3,0.7,0.7,9,112,5,0.32256091315527236,0.6774390868447276
0.01,350,100,9,0.7,0.7,9,112,5,0.3225609131552725,0.6774390868447275
0.01,350,100,5,0.7,0.7,9,112,5,0.3225609131552726,0.6774390868447274
0.01,350,100,7,0.7,0.7,9,112,5,0.32256091315527297,0.6774390868447271
0.01,350,50,7,0.7,0.7,9,112,5,0.3227501343176508,0.6772498656823491
0.01,350,50,5,0.7,0.7,9,112,5,0.3227501343176512,0.6772498656823488
0.01,350,50,3,0.7,0.7,9,112,5,0.3227501343176533,0.6772498656823467
0.01,350,50,9,0.7,0.7,9,112,5,0.3227501343176547,0.6772498656823454
0.01,350,50,5,0.5,0.5,3,16,5,0.3228673446008839,0.6771326553991162
0.01,350,50,3,0.5,0.5,3,16,5,0.3228673446008839,0.6771326553991162
0.01,350,50,7,0.5,0.5,3,16,5,0.32286734460088407,0.6771326553991159
0.01,350,50,9,0.5,0.5,3,16,5,0.32286734460088445,0.6771326553991155
0.0001,450,100,9,0.5,0.5,3,16,5,0.3231472903638711,0.676852709636129
0.0001,450,100,5,0.5,0.5,3,16,5,0.3231472903638712,0.6768527096361288
0.0001,450,100,7,0.5,0.5,3,16,5,0.3231472903638714,0.6768527096361285
0.0001,450,100,3,0.5,0.5,3,16,5,0.32314729036387163,0.6768527096361283
0.01,350,100,3,0.7,0.7,7,80,5,0.3232136027894607,0.6767863972105392
0.01,350,100,5,0.7,0.7,7,80,5,0.32321360278946104,0.676786397210539
0.01,350,100,7,0.7,0.7,7,80,5,0.3232136027894613,0.6767863972105387
0.01,350,100,9,0.7,0.7,7,80,5,0.3232136027894614,0.6767863972105386
0.0001,450,100,3,0.5,0.5,5,48,5,0.3234002564832507,0.6765997435167492
0.0001,450,100,9,0.5,0.5,5,48,5,0.3234002564832513,0.6765997435167487
0.0001,450,100,7,0.5,0.5,5,48,5,0.3234002564832513,0.6765997435167487
0.0001,450,100,5,0.5,0.5,5,48,5,0.32340025648325277,0.6765997435167472
0.01,350,50,3,0.5,0.5,5,48,5,0.3234042067812984,0.6765957932187017
0.01,350,50,9,0.5,0.5,5,48,5,0.32340420678129994,0.6765957932187001
0.01,350,50,7,0.5,0.5,5,48,5,0.3234042067813002,0.6765957932186998
0.01,350,50,5,0.5,0.5,5,48,5,0.3234042067813005,0.6765957932186994
0.01,350,50,5,0.7,0.7,5,48,5,0.3237582594023579,0.6762417405976421
0.01,350,50,9,0.7,0.7,5,48,5,0.3237582594023584,0.6762417405976415
0.01,350,50,7,0.7,0.7,5,48,5,0.3237582594023587,0.6762417405976413
0.01,350,50,3,0.7,0.7,5,48,5,0.3237582594023594,0.6762417405976406
0.0001,450,100,7,0.7,0.7,9,112,5,0.32397446082545467,0.6760255391745453
0.0001,450,100,9,0.7,0.7,9,112,5,0.3239744608254586,0.6760255391745413
0.0001,450,100,3,0.7,0.7,9,112,5,0.3239744608254588,0.6760255391745412
0.0001,450,100,5,0.7,0.7,9,112,5,0.32397446082545905,0.6760255391745409
0.01,350,50,5,0.7,0.7,7,80,5,0.32413670947542905,0.675863290524571
0.01,350,50,9,0.7,0.7,7,80,5,0.3241367094754293,0.6758632905245707
0.01,350,50,7,0.7,0.7,7,80,5,0.3241367094754293,0.6758632905245707
0.01,350,50,3,0.7,0.7,7,80,5,0.3241367094754294,0.6758632905245706
0.0001,450,50,5,0.5,0.5,3,16,5,0.3244753760687769,0.6755246239312231
0.0001,450,50,9,0.5,0.5,3,16,5,0.32447537606877713,0.6755246239312229
0.0001,450,50,7,0.5,0.5,3,16,5,0.3244753760687775,0.6755246239312225
0.0001,450,50,3,0.5,0.5,3,16,5,0.3244753760687777,0.6755246239312223
0.01,350,100,5,0.7,0.7,5,48,5,0.3245112982316128,0.6754887017683873
0.01,350,100,7,0.7,0.7,5,48,5,0.3245112982316131,0.6754887017683868
0.01,350,100,9,0.7,0.7,5,48,5,0.3245112982316131,0.6754887017683868
0.01,350,100,3,0.7,0.7,5,48,5,0.3245112982316132,0.6754887017683868
0.0001,450,50,7,0.5,0.5,5,48,5,0.324612836794236,0.675387163205764
0.0001,450,50,9,0.5,0.5,5,48,5,0.324612836794236,0.675387163205764
0.0001,450,50,5,0.5,0.5,5,48,5,0.32461283679423625,0.6753871632057638
0.0001,450,50,3,0.5,0.5,5,48,5,0.32461283679423664,0.6753871632057633
0.0001,450,100,7,0.7,0.7,7,80,5,0.32477043822249096,0.675229561777509
0.0001,450,100,3,0.7,0.7,7,80,5,0.3247704382224914,0.6752295617775086
0.0001,450,100,5,0.7,0.7,7,80,5,0.3247704382224925,0.6752295617775075
0.0001,450,100,9,0.7,0.7,7,80,5,0.32477043822249446,0.6752295617775055
0.0001,450,50,9,0.9,0.9,9,112,5,0.3248013966700025,0.6751986033299975
0.0001,450,50,5,0.9,0.9,9,112,5,0.3248013966700031,0.6751986033299969
0.0001,450,50,7,0.9,0.9,9,112,5,0.3248013966700031,0.6751986033299969
0.0001,450,50,3,0.9,0.9,9,112,5,0.3248013966700051,0.6751986033299948
0.0001,450,50,9,0.7,0.7,7,80,5,0.3249806337606872,0.6750193662393128
0.0001,450,50,3,0.7,0.7,7,80,5,0.3249806337606877,0.6750193662393122
0.0001,450,50,7,0.7,0.7,7,80,5,0.3249806337606886,0.6750193662393114
0.0001,450,50,5,0.7,0.7,7,80,5,0.32498063376069003,0.67501936623931
0.01,350,50,7,0.9,0.9,9,112,5,0.32533257808878024,0.6746674219112198
0.01,350,50,9,0.9,0.9,9,112,5,0.32533257808878024,0.6746674219112198
0.01,350,50,3,0.9,0.9,9,112,5,0.3253325780887804,0.6746674219112196
0.01,350,50,5,0.9,0.9,9,112,5,0.3253325780887806,0.6746674219112194
0.0001,450,100,9,0.7,0.7,5,48,5,0.32540960841164007,0.67459039158836
0.0001,450,100,5,0.7,0.7,5,48,5,0.3254096084116403,0.6745903915883598
0.0001,450,100,3,0.7,0.7,5,48,5,0.3254096084116404,0.6745903915883595
0.0001,450,100,7,0.7,0.7,5,48,5,0.32540960841164057,0.6745903915883594
0.01,350,100,9,0.7,0.7,3,16,5,0.32569364436824194,0.6743063556317581
0.01,350,100,7,0.7,0.7,3,16,5,0.32569364436824205,0.6743063556317579
0.01,350,100,3,0.7,0.7,3,16,5,0.32569364436824216,0.6743063556317579
0.01,350,100,5,0.7,0.7,3,16,5,0.32569364436824455,0.6743063556317554
0.01,350,100,5,0.9,0.9,9,112,5,0.32572318289131036,0.6742768171086897
0.01,350,100,7,0.9,0.9,9,112,5,0.32572318289131036,0.6742768171086897
0.01,350,100,3,0.9,0.9,9,112,5,0.32572318289131186,0.6742768171086881
0.01,350,100,9,0.9,0.9,9,112,5,0.32572318289131247,0.6742768171086875
0.0001,450,100,7,0.7,0.7,3,16,5,0.32583480235800627,0.6741651976419938
0.0001,450,100,3,0.7,0.7,3,16,5,0.32583480235800644,0.6741651976419936
0.0001,450,100,9,0.7,0.7,3,16,5,0.3258348023580068,0.6741651976419931
0.0001,450,100,5,0.7,0.7,3,16,5,0.3258348023580087,0.6741651976419913
0.0001,450,100,7,0.9,0.9,9,112,5,0.3260904487524042,0.6739095512475958
